Social Security Number,First Name,Middle Name,Last Name,Suffix,Preferred Name,Display Name,Full Name,Gender,DOB,Age,Marital Status,Date of Marriage,U.S. Citizen,Visa Status,Veteran Status,Military Reserve Status,EEOC,Office,Class,Payroll Group,Division,Department,Business Unit,Benefit Work State,Payroll Work State,Cost Center,Is Collectively Bargained,Job Title,Manager,EEOC Category,Demographic Change Effective Date,Employee ID,Company Name,Payroll ID,Primary Payroll Identifier,Statutory Class,Time Clock ID,Employment Status,Hire Date,Affiliate Hire Date,Original Hire Date,Hired On,Retired,Retired Date,Termination Date,Termination Reason,Terminated On,Annual Review Date,Decision Maker,Is Exempt,Is Full Time,Future Termination Date,Primary Contact,Executive Contact,ACA Classification,Key Employee,Highly Compensated Employee,5%+ Owner,Works Outside U.S.,Leased Employee,Seasonal Employee,Address Type,Address 1,Address 2,Address 3,City,State,County,Zip,Country,Phone (Home),Phone (Personal Cell),Phone (Work/Office Number),Email (Primary),Tobacco User,Tobacco Date,On Wellness Program,Disabled,Medicare Eligible,Medicare Eligible Reason,Medicare Part A Effective Date,Medicare Part B Effective Date,Medicare Part D Effective Date,Height (feet),Height (inches),Weight,Pay Basis,Salary Effective Date,Annual Base Salary,Hourly Rate,Hours per Week,Annual Benefit Salary,Annual Benefit Salary Effective Date,Prior Year W2 Earnings,Salary Review Date,Next Salary Review Date,Pay Frequency,Override Pay Frequency,Ownership Percentage,Employee Compensation Billable,Time Off Package,Username,External Employee Id,HR User,Last Updated,Enrollment Completed,Dependent Sequence Number,
354-82-4005,Sosanna,,Buyers,,,"Buyers, Sosanna",Sosanna Buyers,F,08/05/1975,43,,,,,,,,,Full Time,Full Time,,,,,,,,,"Britner,Betta",,,,Sample Company,,,,,Active,02/28/2017,,,02/28/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,sbuyersi@eepurl.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516587,,01/23/2018,,,
217-21-5970,Chris,,Capauwano,,,"Capauwano, Chris",Chris Capauwano,M,08/25/1988,30,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,04/02/2010,1175405,Sample Company,,,,,Active,04/12/2017,,04/02/2010,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Chris_Capauwano@SampleCo.com,No,,No,,,,,,,,,,Hourly,04/02/2010,"$39,520.00",19.00,40,,,,,,,,,No,,,1175405,,04/12/2017,,,
123-49-8765,John,,Carpenter,,,"Carpenter, John",John Carpenter,M,01/01/1980,39,,,,,,,,,Management,Full Time,,,,,California,,,HR Tester,"Britner,Betta",,,,Sample Company,,,,,Terminated,01/03/2018,,01/01/2018,01/08/2018,,,11/09/2018,Voluntary Termination (18 months),11/07/2018,,,,,,,,,No,No,No,,,,Home,,,,,CA,,,,,,,wparks@vantreo.com,,,,,,,,,,,,,Salary,01/01/2018,"$60,000.00",,,,,,,,,,,No,,carpenter_john_12345,7665974,No,11/07/2018,,,
830-69-6234,Arlen,,Catterill,,,"Catterill, Arlen",Arlen Catterill,F,11/29/1999,19,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,08/17/2016,,,08/17/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,Home,100,,,a,CA,,9,,,,,acatterill5@webmd.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516574,,07/26/2017,,,
012-21-1232,John,,Childs,,,"Childs, John",John Childs,M,03/27/1986,33,Married,,Yes,,,,White,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,01/05/2016,2151683,Sample Company,,,,,Active,01/05/2016,,01/05/2016,01/05/2016,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,John_Childs@SampleCo.com,No,,No,,,,,,,,,,Hourly,01/05/2016,"$29,120.00",14.00,40,,,,,,,,,No,Sample Company Base Time Off Package,john@genatural.com,2151683,No,06/28/2016,01/05/2016,,
123-45-6805,Clarence,,Climber,,,"Climber, Clarence",Clarence Climber,M,08/02/1967,51,Single,,,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,11/17/2015,1754345,Sample Company,,,,,Terminated,11/17/2015,,11/17/2015,11/17/2015,No,,03/08/2017,Voluntary Termination (18 months),03/08/2017,,,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Clarence_Climber@SampleCo.com,No,,No,,,,,,,,,,Hourly,11/17/2015,"$35,360.00",17.00,40,,,,,,,,,No,,,3614786,,03/08/2017,,,
123-45-6806,John,,Copenhaver,,,"Copenhaver, John",John Copenhaver,M,01/01/1980,39,Single,,,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,,1175412,Sample Company,,,,,Active,03/15/2014,,03/15/2014,03/15/2014,No,,,,,,,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,John_Copenhaver@SampleCo.com,No,,No,,,,,,,,,,Hourly,03/15/2014,"$27,040.00",13.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,3614787,,06/27/2016,,,
217-22-1470,Debbie,,Crowley,,,"Crowley, Debbie",Debbie Crowley,F,12/19/1973,45,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,07/07/2014,1175423,Sample Company,,,,,Active,07/07/2014,,07/07/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Debbie_Crowley@SampleCo.com,No,,No,,,,,,,,,,Hourly,07/07/2014,"$29,120.00",14.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175423,,06/27/2016,,,
987-65-4321,HR USER,,DEMO,,,"DEMO, HR USER",HR USER DEMO,M,07/16/1987,31,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,01/01/2016,3310291,Sample Company,,,,,Active,01/01/2016,,01/01/2016,04/18/2016,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,HRUser_Demo@SampleCo.com,No,,No,,,,,,,,,,Hourly,01/01/2016,"$31,200.00",15.00,40,,,,,,,,,No,Sample Company Base Time Off Package,#sample,3310291,,06/28/2016,,,
512-21-5125,Marcus,,Demopolis,,,"Demopolis, Marcus",Marcus Demopolis,M,01/01/1988,31,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,01/01/2019,,,01/17/2019,,,,,,,,,,,,,,No,No,No,,,,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,11042207,,01/17/2019,,,
217-22-2570,Kristen,,Duck,,,"Duck, Kristen",Kristen Duck,F,12/08/1966,52,Divorced,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,06/01/2016,1175428,Sample Company,,,,,Terminated,02/12/2015,,06/01/2016,06/24/2016,No,,08/09/2016,Involuntary Termination (18 Months),08/09/2016,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Kristen_Duck@SampleCo.com,No,,No,,,,,,,,,,Hourly,02/12/2015,"$39,520.00",19.00,40,,,,,,,,,No,,,1175428,,08/09/2016,,,
219-33-3333,Bill,,Dunster,,,"Dunster, Bill",Bill Dunster,M,03/13/1975,44,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,04/15/2014,1175415,Sample Company,,,,,Active,04/15/2014,,04/15/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Bill_Dunster@SampleCo.com,No,,No,,,,,,,,,,Hourly,04/15/2014,"$37,440.00",18.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175415,,06/27/2016,,,
217-22-1800,Lindsay,,Egloff,,,"Egloff, Lindsay",Lindsay Egloff,F,02/21/1983,36,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,09/11/2014,1175424,Sample Company,,,,,Active,09/20/2017,,09/11/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Lindsay_Egloff@SampleCo.com,No,,No,,,,,,,,,,Hourly,09/11/2014,"$35,360.00",17.00,40,,,,,,,,,No,,,1175424,,09/26/2017,,,
100-23-4456,TEST,,EMPLOYEE,,,"EMPLOYEE, TEST",TEST EMPLOYEE,M,03/01/1971,48,Single,,Yes,,,,,Santa Rosa,Part Time (Not Eligible),Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,06/22/2017,1254859,Sample Company,,,,,Active,08/01/2015,,01/01/2016,01/20/2016,No,,,,,,No,No,Yes,,No,No,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,TEST_EMPLOYEE@SampleCo.com,No,,,,No,,,,,,,,Hourly,06/01/2017,"$41,600.00",20.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1254859,,06/22/2017,,,
000-12-1212,Tester,,Employee,,,"Employee, Tester",Tester Employee,M,12/12/1912,106,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Terminated,10/01/2016,,,10/19/2016,,,09/30/2016,No Longer Eligible,10/19/2016,,,,,,,,,No,No,No,,,,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,4337760,No,10/19/2016,,,
217-21-5200,Tom,,Escobar,,,"Escobar, Tom",Tom Escobar,M,06/20/1987,31,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,02/02/2008,1175403,Sample Company,,,,,Active,02/02/2008,,02/02/2008,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Tom_Escobar@SampleCo.com,No,,No,,,,,,,,,,Hourly,02/02/2008,"$41,600.00",20.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175403,,06/27/2016,,,
356-22-0447,Marv,,Fordyce,,,"Fordyce, Marv",Marv Fordyce,M,11/03/1961,57,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,09/01/2016,,,09/01/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,mfordyce6@dailymail.co.uk,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516575,,07/26/2017,,,
123-45-6844,Jessica,,Franklin,,,"Franklin, Jessica",Jessica Franklin,F,09/02/1980,38,Single,,,,,,,Santa Rosa,Full Time,Full Time,,Customer Service,,,,,No,Customer Service,"Adams,Amy",,09/22/2015,1346263,Sample Company,,,,,Active,09/22/2015,,09/21/2015,09/21/2015,No,,,,,,,No,No,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Jessica_Franklin@SampleCo.com,No,,No,,,,,,,,,,Hourly,09/22/2015,"$21,060.00",15.00,27,,,,,,,,,No,Sample Company Base Time Off Package,,3614822,,06/28/2016,,,
515-79-7185,Micheal,,Fruen,,,"Fruen, Micheal",Micheal Fruen,M,04/22/1980,39,,,,,,,,,Part Time (Eligible),Part Time (Eligible),,,,,,,,,,,,,Sample Company,,,,,Active,12/15/2016,,,12/15/2016,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,mfruend@multiply.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516582,,07/26/2017,,,
313-93-4031,York,,Gipp,,,"Gipp, York",York Gipp,M,06/08/1987,31,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,01/14/2017,,,01/14/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,ygippf@sourceforge.net,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516584,,07/26/2017,,,
789-84-9512,David,,Goliath,,,"Goliath, David",David Goliath,M,01/01/1970,49,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Active,01/23/2018,,,01/23/2018,,,,,,,,,,,,,,No,No,No,,,,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,7790952,,01/23/2018,,,
121-56-5190,Hedwig,,Gori,,,"Gori, Hedwig",Hedwig Gori,F,06/22/1979,39,,,,,,,,,Full Time,Full Time,,,,,,,,,,,,,Sample Company,,,,,Terminated,10/31/2016,,,10/31/2016,,,08/06/2017,Voluntary Termination (18 months),09/05/2017,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,hgoria@privacy.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516579,,09/05/2017,,,
219-77-7777,Jill,,Green,,,"Green, Jill",Jill Green,F,11/17/1981,37,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,02/02/2015,1175394,Sample Company,,,,,Active,08/12/2015,,02/02/2015,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Jill_Green@SampleCo.com,No,,No,,,,,,,,,,Hourly,08/12/2015,"$24,960.00",12.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175394,,06/27/2016,,,
212-88-8888,Sarah,,Grove,,,"Grove, Sarah",Sarah Grove,F,05/10/1972,46,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,02/15/2014,1175408,Sample Company,,,,,Active,02/15/2014,,02/15/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Sarah_Grove@SampleCo.com,No,,No,,,,,,,,,,Hourly,02/15/2014,"$43,680.00",21.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175408,,06/27/2016,,,
217-22-2240,Julie,,Harper,,,"Harper, Julie",Julie Harper,F,05/07/1993,25,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,08/01/2017,1175392,Sample Company,,,,,Active,12/08/2014,,12/08/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Julie_Harper@SampleCo.com,No,,No,,,,,,,,,,Hourly,12/08/2014,"$31,200.00",15.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175392,,09/07/2017,,,
350-28-7400,Lexine,,Hayfield,,,"Hayfield, Lexine",Lexine Hayfield,F,06/09/1952,66,,,,,,,,,Part Time (Eligible),Part Time (Eligible),,,,,,,,,,,,,Sample Company,,,,,Active,01/29/2017,,,01/29/2017,,,,,,,,,,,,,Variable hour,No,No,No,,,,,,,,,,,,,,,,lhayfieldg@multiply.com,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,6516585,,07/26/2017,,,
217-22-1690,Norma,,Heller,,,"Heller, Norma",Norma Heller,F,12/23/1981,37,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Administration,,,,,No,Administration,"Adams,Amy",,08/20/2014,1175390,Sample Company,,,,,Active,08/20/2014,,08/20/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Norma_Heller@SampleCo.com,No,,No,,,,,,,,,,Hourly,08/20/2014,"$31,200.00",15.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175390,,06/27/2016,,,
213-88-8888,Peter,,Hicks,,,"Hicks, Peter",Peter Hicks,M,09/16/1991,27,Single,,,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,,1175409,Sample Company,,,,,Active,02/15/2014,,02/15/2014,02/15/2014,No,,,,,,,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Peter_Hicks@SampleCo.com,No,,No,,,,,,,,,,Hourly,02/15/2014,"$33,280.00",16.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,3617422,,06/27/2016,,,
219-77-7782,Robyn,,Hood,,,"Hood, Robyn",Robyn Hood,F,08/17/1980,38,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,11/01/2014,1175399,Sample Company,,,,,Active,08/12/2015,,11/01/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Robyn_Hood@SampleCo.com,No,,No,,,,,,,,,,Hourly,08/12/2015,"$27,040.00",13.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175399,,06/27/2016,,,
217-22-2790,Cheryl,,Johnson,,,"Johnson, Cheryl",Cheryl Johnson,F,07/05/1969,49,Married,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,03/28/2015,1175430,Sample Company,,,,,Active,03/28/2015,,03/28/2015,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Cheryl_Johnson@SampleCo.com,No,,No,,,,,,,,,,Hourly,03/28/2015,"$31,200.00",15.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175430,,06/27/2016,,,
111-12-9999,Jessica,,Jones,,,"Jones, Jessica",Jessica Jones,F,08/01/1985,33,,,,,,,,,Full Time,Full Time,,,,,,,,,,,09/25/2017,,Sample Company,,,,,Active,08/19/2016,,,08/22/2016,,,,,,,,,,,,,Eligible (Regularly works more than 30 hours a week),No,No,No,,,No,Home,,,,,CA,,,,,,,,,,,,,,,,,,,,Salary,08/19/2016,"$65,000.00",,,,,,,,,,,No,Sample Company Base Time Off Package,,3907045,,09/25/2017,09/25/2017,,
218-99-9999,Brian,,Kelley,,,"Kelley, Brian",Brian Kelley,M,04/08/1971,48,Single,,Yes,,,,,Santa Rosa,Full Time,Full Time,,Client Management,,,,,No,Client Management,"Adams,Amy",,03/15/2014,1175413,Sample Company,,,,,Active,03/15/2014,,03/15/2014,08/12/2015,No,,,,,,No,No,Yes,,,,Variable hour,No,No,No,No,No,No,Home,100 Stony Point Rd,,,Santa Rosa,CA,Sonoma County,95401,United States of America,(707) 546-2300,,,Brian_Kelley@SampleCo.com,No,,No,,,,,,,,,,Hourly,03/15/2014,"$24,960.00",12.00,40,,,,,,,,,No,Sample Company Base Time Off Package,,1175413,,06/27/2016,,,
